日期Date,指数代码 Index Code,指数名称 Index Name,指数英文名称Index Name(Eng),成份券代码Constituent Code,成份券名称Constituent Name,成份券英文名称Constituent Name(Eng),交易所Exchange,交易所英文名称Exchange(Eng)
20251231,000510,中证A500,CSI A500,000831,中国稀土,"CHINA RARE EARTH RESOURCES AND TECHNOLOGY CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000858,五 粮 液,Wuliangye Yibin Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000878,云南铜业,Yunnan Copper Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000887,中鼎股份,"Anhui Zhongding Sealing Parts Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000932,华菱钢铁,Hunan Valin Steel Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000933,神火股份,Henan Shen Huo Coal Industry and Electricity Power Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000938,紫光股份,"Unisplendour Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000960,锡业股份,Yunnan Tin Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000963,华东医药,Huadong Medicine Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000967,盈峰环境,Infore Environment Technology Group Co. Ltd.,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000975,山金国际,"Shanjin International Gold Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000977,浪潮信息,"Inspur Electronic Information Industry Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000988,华工科技,Huagong Tech Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000998,隆平高科,Yuan Longping High-tech Agriculture Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,000999,华润三九,China Resources Sanjiu Medical & Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,001914,招商积余,"China Merchants Property Operation & Service Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,001965,招商公路,"China Merchants Expressway Network Technology Holdings Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,001979,招商蛇口,"CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002001,新和成,Zhejiang NHU Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002007,华兰生物,Hualan Biological Engineering INC,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002008,大族激光,"Han's Laser Technology Industry Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002025,航天电器,Guizhou Space Appliance Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002027,分众传媒,"Focus Media Information Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002028,思源电气,"Siyuan Electric Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002044,美年健康,"Meinian Onehealth Healthcare Holdings Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002049,紫光国微,"Unigroup Guoxin Microelectronics Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002050,三花智控,"ZHEJIANG SANHUA INTELLIGENT CONTROLS CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
